"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
2;"Rebolledo";"Raimundo";14/05/97;19;"Chile";1,82;70;"Defensor";"Chile"
13;"Sierralta";"Francisco";6/05/97;19;"Chile";1,8;70;"Defensor";"Chile"
8;"Suazo";"Gabriel";9/08/97;19;"Chile";1,78;69;"Defensor";"Chile"
17;"Vásquez";"Kevin";27/06/97;19;"Uruguay";;;"Defensor";"Uruguay"
14;"Araos";"Angelo";6/01/97;20;"Chile";1,77;65;"Volante";"Chile"
11;"Careño";"Jaime";3/03/97;19;"Chile";1,65;66;"Volante";"Chile"
20;"Cuadra";"Adrián";23/10/97;19;"Chile";;;"Volante";"Chile"
6;"Leiva";"Yerko";14/06/98;18;"Chile";1,62;53;"Volante";"Chile"
21;"Lobos ";"Carlos";21/02/97;19;"Chile";1,73;68;"Volante";"Chile"
7;"Dávila";"Victor";20/09/97;19;"Chile";1,68;70;"Delantero";"Chile"
16;"Fritz";"Felipe";23/09/97;19;"Chile";1,81;70;"Delantero";"Chile"
15;"Jara";"Ignacio";11/02/96;20;"Chile";;;"Delantero";"Chile"
19;"Morales";"Iván";29/07/99;17;"Chile";1,78;60;"Delantero";"Chile"
9;"Paredes";"Richard";26/04/96;20;"Chile";;;"Delantero";"Chile"
22;"Sierra";"José Luis";24/01/97;20;"Chile";1,83;74;"Delantero";"Chile"
10;"Vargas";"Jeisson";15/09/97;19;"Chile";1,7;68;"Delantero";"Chile"
"DT";"Restrepo";"Carlos";5/03/61;55;"Colombia";;;"Director técnico";"Colombia"
12;"Arias";"Manuel";12/12/97;19;"Colombia";1,88;81;"Arquero";"Colombia"
1;"García";"Luis";20/03/98;18;"Colombia";1,83;75;"Arquero";"Colombia"
23;"Mora ";"Jaime";12/06/97;19;"Colombia";1,9;85;"Arquero";"Colombia"
5;"Arroyo";"Anderson";27/09/99;17;"Colombia";1,8;70;"Defensor";"Colombia"
4;"Castro ";"Joan";13/01/97;20;"Colombia";1,8;70;"Defensor";"Colombia"
15;"Chaverra Rentería";"Leyser";1/04/97;19;"Colombia";1,77;77;"Defensor";"Colombia"
2;"Cuesta";"Carlos";9/03/99;17;"Colombia";1,78;67;"Defensor";"Colombia"
22;"Fuentes";"Gabriel";9/02/97;19;"Colombia";1,8;70;"Defensor";"Colombia"
14;"Paz";"Breiner";27/09/97;19;"Colombia";1,82;;"Defensor";"Colombia"
3;"Segura";"Jorge";18/01/97;20;"Colombia";1,76;75;"Defensor";"Colombia"
20;"Atuesta";"Eduard";18/06/97;19;"Colombia";;;"Volante";"Colombia"
8;"Balanta";"Kevin";28/04/97;19;"Colombia";1,79;73;"Volante";"Colombia"
18;"Balanta";"Harold";16/03/98;18;"Colombia";;;"Volante";"Colombia"
17;"Diaz";"Luis";13/01/97;20;"Colombia";1,78;65;"Volante";"Colombia"
10;"Hernández";"Juan Camilo";22/04/99;17;"Colombia";1,75;65;"Volante";"Colombia"
16;"Mina";"Christian";14/04/97;19;"Colombia";1,81;72;"Volante";"Colombia"
21;"Ramírez";"Juan Pablo";26/11/97;19;"Colombia";1,82;76;"Volante";"Colombia"
6;"Rojano Gómez";"Daniel";25/04/97;19;"Colombia";1,75;75;"Volante";"Colombia"
13;"Valencia";"Ever";23/01/97;20;"Colombia";1,75;70;"Volante";"Colombia"
9;"Ceter Valencia";"Damir";2/11/97;19;"Colombia";;;"Delantero";"Colombia"
11;"Nike Gómez";"Michael";4/04/97;19;"Colombia";;;"Delantero";"Colombia"
19;"Obregón";"Jorge";29/03/97;19;"Colombia";1,82;77;"Delantero";"Colombia"
7;"Quiñones";"Julian Andrés";24/03/97;19;"Colombia";1,76;74;"Delantero";"Colombia"
"DT";"Rodríguez";"José Javier";7/10/60;56;"Ecuador";;;"Director técnico";"Ecuador"
22;"Carabalí";"Gabriel Omar";12/06/97;19;"Ecuador";;;"Arquero";"Ecuador"
1;"Cevallos";"José Gabriel";19/03/98;18;"Ecuador";1,83;74;"Arquero";"Ecuador"
12;"Terreros Palacios";"Giancarlos";"14/15/98";18;"Ecuador";1,83;69;"Arquero";"Ecuador"
13;"Castillo";"Byron";10/11/98;18;"Ecuador";1,7;57;"Defensor";"Ecuador"
6;"Estupiñán";"Pervis";21/01/98;19;"Ecuador";1,75;69;"Defensor";"Ecuador"
4;"Minda";"Kevin Andrés";21/11/98;18;"Ecuador";;;"Defensor";"Ecuador"
2;"Montezuma";"Jhonner";11/01/98;19;"Ecuador";1,67;68;"Defensor";"Ecuador"
3;"Quintero Nazareno";"Joel Steven";25/09/98;18;"Ecuador";1,82;68;"Defensor";"Ecuador"
21;"Segovia";"Luis Geovanny";26/10/97;19;"Ecuador";;;"Defensor";"Ecuador"
23;"Torres";"Félix Eduardo";11/01/97;20;"Ecuador";;;"Defensor";"Ecuador"
18;"Vargas";"William";12/06/97;19;"Ecuador";;;"Defensor";"Ecuador"
8;"Ayoví";"Wilter";17/04/97;19;"Ecuador";1,67;61;"Volante";"Ecuador"
10;"Cabezas";"Bryan";20/03/97;19;"Ecuador";1,8;72;"Volante";"Ecuador"
14;"Jaramillo";"Renny";12/06/98;18;"Ecuador";1,75;68;"Volante";"Ecuador"
20;"Méndez";"Jhegson ";26/04/97;19;"Ecuador";1,8;70;"Volante";"Ecuador"
16;"Muñoz";"Adolfo Alejandro";12/12/97;19;"Ecuador";;;"Volante";"Ecuador"
5;"Nazareno";"Juan";18/08/98;18;"Ecuador";1,73;63;"Volante";"Ecuador"
17;"Rojas";"Joao Joshimar";16/08/97;19;"Ecuador";1,79;69;"Volante";"Ecuador"
15;"Sierra";"Jordan Steeven";23/04/97;19;"Ecuador";;;"Volante";"Ecuador"
19;"Caicedo";"Jordy Josué";18/11/97;19;"Ecuador";;;"Delantero";"Ecuador"
7;"Corozo";"Washington";9/07/98;18;"Ecuador";1,76;59;"Delantero";"Ecuador"
