timestamp,AccX,AccY,AccZ
1569277142254,-3.2740707397460938,-6.918045997619629,1.157596468925476
1569277142281,,,-5.543774127960205
1569277142282,-2.273294448852539,-7.032967567443848,
1569277142325,-3.728969097137451,-8.574832916259766,-2.9293057918548584
1569277142362,-4.135983467102051,-6.774393558502197,-2.522291421890259
1569277142437,-5.060145378112793,-6.1519012451171875,-2.675520420074463
1569277142481,-6.022614479064941,-5.855020046234131,-3.6332011222839355
1569277142485,-7.952341079711914,-5.4911017417907715,-1.4688427448272705
1569277142551,-8.316259384155273,-4.964377403259277,-1.578976035118103
1569277142577,-8.124723434448242,-4.198232650756836,-1.6508020162582397
1569277142622,,,4.203021049499512
1569277142623,-9.939528465270996,-3.513490915298462,
1569277142649,-10.667366027832031,-3.4608185291290283,-0.3627215623855591
1569277142694,-11.165359497070312,-2.6420016288757324,1.9907786846160889
1569277142795,-13.889961242675781,-3.422511339187622,2.0386626720428467
1569277142822,-13.923480033874512,-5.816712856292725,-2.8143839836120605
1569277142866,,,-9.824606895446777
1569277142867,-11.591527938842773,-11.03128433227539,
1569277142893,-5.57250452041626,-10.743980407714844,-8.02416706085205
1569277142938,-1.923741102218628,-12.328941345214844,11.945869445800781
1569277142981,,-9.321824073791504,0.2669534981250763
1569277142982,-3.2405519485473633,,
1569277143026,-3.22139835357666,-3.8343141078948975,-1.9141643047332764
1569277143053,,-2.1727380752563477,-1.890222191810608
1569277143054,-2.890998601913452,,
1569277143099,-2.694674015045166,-2.0147206783294678,-2.076969861984253
1569277143130,,-2.5989060401916504,-0.02274491637945175
1569277143131,-2.8191723823547363,,
1569277143170,-5.960365295410156,-4.887762546539307,4.131195068359375
1569277143255,-26.804285049438477,-11.045649528503418,18.055871963500977
1569277143327,,,1.8567034006118774
1569277143328,-7.2771759033203125,-8.13908863067627,
1569277143329,-1.0187327861785889,-6.123170852661133,-6.975506782531738
1569277143399,,,-2.9293057918548584
1569277143400,-3.3219549655914307,-9.331400871276855,
1569277143425,,-7.2771759033203125,-2.5989060401916504
1569277143426,-4.610035419464111,,
1569277143471,-5.926846504211426,-6.731297969818115,-2.8143839836120605
1569277143497,,-5.280411720275879,-2.646790027618408
1569277143498,-7.07606315612793,,
1569277143544,,-5.4240641593933105,-1.5167267322540283
1569277143545,-8.148665428161621,,
1569277143617,-8.65623664855957,-4.787206172943115,-0.8942343592643738
1569277143688,,,3.714603900909424
1569277143689,-9.671378135681152,-3.7624878883361816,
1569277143692,-9.910798072814941,-3.1735143661499023,-1.3682862520217896
1569277143735,-9.647436141967773,-3.159149169921875,-0.20949265360832214
1569277143819,-13.899538040161133,-4.657919406890869,6.4631476402282715
1569277143873,-12.108675003051758,-2.5079262256622314,0.6931213736534119
1569277143900,,-8.732851028442383,-6.7696051597595215
1569277143901,-13.526042938232422,,
1569277143960,-10.308235168457031,-11.050437927246094,-9.23563289642334
1569277143988,-4.614823818206787,-9.9586820602417,-5.845443248748779
1569277144056,,,-0.6643909811973572
1569277144057,-3.0633809566497803,-8.598775863647461,-2.40736985206604
1569277144150,-2.9915549755096436,-3.9875428676605225,-1.8567034006118774
1569277144175,,,-1.9524714946746826
1569277144177,-2.8814218044281006,-1.8040310144424438,
1569277144234,-3.4799721240997314,-3.3937809467315674,-0.017956512048840523
1569277144260,-14.933833122253418,-8.062474250793457,14.51245403289795
1569277144317,,-6.654683589935303,0.22864626348018646
1569277144318,-18.022354125976562,,
1569277144343,-13.492524147033691,-9.364919662475586,1.9907786846160889
1569277144407,-1.6651673316955566,-6.913257598876953,-3.250128746032715
1569277144433,-3.7481226921081543,-9.005789756774902,-3.5901055335998535
1569277144508,-5.3330841064453125,-8.019378662109375,-3.1064767837524414
1569277144541,,-4.897339344024658,-2.340332269668579
1569277144542,-5.926846504211426,,
1569277144616,-7.195773124694824,-5.419275760650635,-1.9476830959320068
1569277144689,,,-1.171961784362793
1569277144690,-8.086416244506836,-5.428852558135986,0.15682020783424377
1569277144742,,,6.123170852661133
1569277144743,-8.344989776611328,-4.50947904586792,-0.9133879542350769
1569277144826,-9.714473724365234,-3.843890905380249,-1.622071623802185
1569277144926,-13.51646614074707,-3.4799721240997314,1.43532395362854
1569277144951,,,-7.86614990234375
1569277144952,-14.972140312194824,-8.756793022155762,
1569277145016,-10.710461616516113,-10.676942825317383,-8.186972618103027
1569277145067,,,-3.5278561115264893
1569277145068,-5.352237701416016,-10.360907554626465,-1.191115379333496
1569277145117,-2.316390037536621,-5.151124954223633,-2.187103271484375
1569277145143,-2.7281928062438965,-4.499902248382568,-1.84233820438385
1569277145223,-3.207033157348633,-2.3738510608673096,-1.9907786846160889
1569277145307,,,-0.5877765417098999
1569277145308,-2.9867665767669678,-4.638765811920166,3.22139835357666
1569277145394,-16.892290115356445,-2.297236442565918,6.999448776245117
1569277145424,,,5.400122165679932
1569277145425,-9.982624053955078,-6.324283599853516,
1569277145467,,-7.703343868255615,
1569277145468,-3.4320881366729736,,-4.806359767913818
1569277145542,,,-3.2740707397460938
1569277145543,-4.8255133628845215,-9.135076522827148,
1569277145546,-5.093664169311523,-7.947552680969238,-5.227739334106445
1569277145624,-5.8885393142700195,-6.233304023742676,-2.761711597442627
1569277145651,-6.113594055175781,-6.075286865234375,-1.8040310144424438
1569277145704,-6.965929985046387,-6.080075263977051,-0.8990227580070496
1569277145707,-7.349001884460449,-5.0266265869140625,-1.4496891498565674
1569277145778,,-4.81593656539917,-1.2198457717895508
1569277145779,-7.856573104858398,,
1569277145818,,,2.761711597442627
1569277145819,-8.474276542663574,-4.016273498535156,
1569277145855,-11.615469932556152,-3.886986494064331,-0.08978256583213806
1569277145883,-9.738415718078613,-3.9013516902923584,2.139219284057617
1569277145939,-13.233949661254883,-5.898116111755371,6.032191276550293
1569277145966,-13.722367286682129,-2.632424831390381,0.7266402244567871
1569277146024,-13.602657318115234,-5.850231647491455,-4.801571369171143
1569277146039,,,-7.420828342437744
1569277146040,-13.722367286682129,-9.254786491394043,
1569277146115,-10.643424034118652,-11.476605415344238,-7.770381450653076
1569277146190,-3.5422213077545166,-6.879738807678223,-2.876633405685425
1569277146192,-2.7521347999572754,-4.796782970428467,-2.3259668350219727
1569277146262,-2.9676129817962646,-2.6850972175598145,-1.8854337930679321
1569277146300,-2.4361002445220947,-2.804807186126709,-1.9476830959320068
1569277146339,-1.8854337930679321,-3.422511339187622,-0.52552729845047
1569277146365,-7.396886348724365,-6.941987991333008,5.313930511474609
1569277146405,-27.163415908813477,-8.26358699798584,14.445415496826172
1569277146483,-18.841169357299805,-4.854243755340576,7.329848289489746
1569277146556,,,-6.6355299949646
1569277146557,-1.8375498056411743,-6.156689643859863,-5.366602897644043
1569277146597,-4.6291890144348145,-9.618705749511719,-4.088099479675293
1569277146638,,,-2.541445016860962
1569277146639,-4.997896194458008,-5.7975592613220215,
1569277146685,-6.118382453918457,-5.965153694152832,-3.2597055435180664
1569277146723,-6.913257598876953,-5.917269706726074,-2.5989060401916504
1569277146794,-8.091204643249512,-5.098452568054199,-1.4305355548858643
1569277146796,-7.971494674682617,-4.255693435668945,-1.3634978532791138
1569277146880,,,2.3594858646392822
1569277146881,-8.80467700958252,-3.776853084564209,-1.2006921768188477
1569277146931,-9.81024169921875,-3.3698389530181885,-0.7553706169128418
1569277146981,-10.959458351135254,-4.3610382080078125,6.903680801391602
1569277147007,-12.654553413391113,-1.1001356840133667,-0.9469067454338074
1569277147057,-12.443862915039062,-2.4887726306915283,-1.2006921768188477
1569277147085,-14.229937553405762,-6.707355976104736,-6.405686855316162
1569277147149,-13.813346862792969,-9.829395294189453,-8.043320655822754
1569277147162,-4.188655853271484,-10.585963249206543,3.001131772994995
1569277147225,,-10.983400344848633,5.682637691497803
1569277147226,-4.298789024353027,,
