;;;;;;;;;
Anexo 1. Desempeño fiscal de los municipios 2013, ;;;;;;;;;
ordenados de mayor a menor calificación;;;;;;;;;
;;;;;;;;;
Codigo Dane Mpio;Departamento;Municipio;Autofinanciamiento gastos de funcionamiento 1/;Respaldo del servicio de la deuda 2/;Dependencia transferencias y regalías 3/;Generación de recursos propios 4/;Magnitud de la inversión 5/;Capacidad de ahorro 6/;Indicador de desempeño Fiscal 7/
 05120 ; Antioquia ; Cáceres ;64,04;2,14;75,38;64,04;95,11;49,65;73,13
 63130 ; Quindio ; Calarca ;64,78;4,60;66,37;79,66;82,51;40,38;73,10
 81794 ; Arauca ; Tame ;63,94;1,77;77,32;74,08;91,49;44,31;73,09
 81220 ; Arauca ; Cravo Norte ;56,57;0,00;66,26;51,73;94,15;51,58;73,09
 23189 ; Córdoba ; Ciénaga de Oro ;53,36;0,00;83,25;69,25;94,53;49,97;73,08
 68432 ; Santander ; Málaga ;58,29;0,05;67,58;65,84;86,38;46,34;73,06
 25599 ; Cundinamarca ; Apulo ;51,42;3,23;55,89;57,91;85,19;47,01;72,93
 68745 ; Santander ; Simacota ;39,88;0,00;76,69;53,95;90,75;62,18;72,89
 41524 ; Huila ; Palermo ;48,50;19,88;73,15;83,57;88,12;53,30;72,84
 76895 ; Valle Del Cauca ; Zarzal ;62,54;6,74;55,03;86,47;69,46;36,39;72,81
 68385 ; Santander ; Landázuri ;45,55;0,69;67,79;54,52;90,24;53,36;72,80
 44090 ; La Guajira ; Dibulla ;50,07;13,32;83,51;76,07;93,67;57,51;72,76
 15861 ; Boyacá ; Ventaquemada ;56,54;1,53;69,23;59,86;88,54;51,64;72,74
 68861 ; Santander ; Vélez ;63,89;0,00;67,55;67,58;86,54;42,10;72,72
 23182 ; Córdoba ; Chinú ;75,06;5,16;83,47;80,38;92,74;44,02;72,70
 05837 ; Antioquia ; Turbo ;21,60;7,69;77,73;47,83;95,22;72,63;72,70
 44560 ; La Guajira ; Manaure ;49,16;0,00;90,34;66,53;95,51;56,36;72,68
 23068 ; Córdoba ; Ayapel ;45,08;0,00;91,42;66,33;94,96;57,89;72,62
 15599 ; Boyacá ; Ramiriquí ;52,13;6,15;59,65;53,73;85,38;56,35;72,61
 05541 ; Antioquia ; Peñol ;61,19;9,39;54,02;66,77;86,40;39,51;72,59
 50287 ; Meta ; Fuente de Oro ;67,40;0,94;72,43;73,02;85,37;42,70;72,57
 68615 ; Santander ; Rionegro ;61,05;1,17;75,42;67,16;90,08;47,02;72,56
