"Cod.Depto";"Nombre.Departamento";"Cod.Mpio";"Nombre.Municipio";"Cod.MpioCompleto";"NBI";"Nota.Aclaratoria"
15;"BOYACA";696;"SANTA SOFIA";15696;35,81;
15;"BOYACA";720;"SATIVANORTE";15720;60,4;
15;"BOYACA";723;"SATIVASUR";15723;46,14;
15;"BOYACA";740;"SIACHOQUE";15740;50,8;
15;"BOYACA";753;"SOATA";15753;40,11;
15;"BOYACA";755;"SOCOTA";15755;72,35;
15;"BOYACA";757;"SOCHA";15757;29,14;
15;"BOYACA";759;"SOGAMOSO";15759;11,6;
15;"BOYACA";761;"SOMONDOCO";15761;36,9;
15;"BOYACA";762;"SORA";15762;46,3;
15;"BOYACA";763;"SOTAQUIRA";15763;37,48;
15;"BOYACA";764;"SORACA";15764;46,26;
15;"BOYACA";774;"SUSACON";15774;55,95;
15;"BOYACA";776;"SUTAMARCHAN";15776;35,38;
15;"BOYACA";778;"SUTATENZA";15778;57,7;
15;"BOYACA";790;"TASCO";15790;39,49;
15;"BOYACA";798;"TENZA";15798;28,23;
15;"BOYACA";804;"TIBANA";15804;45,9;
15;"BOYACA";806;"TIBASOSA";15806;16,18;
15;"BOYACA";808;"TINJACA";15808;48,03;
15;"BOYACA";810;"TIPACOQUE";15810;63,14;
15;"BOYACA";814;"TOCA";15814;44,45;
15;"BOYACA";816;"TOGsI";15816;44;
15;"BOYACA";820;"TOPAGA";15820;29,4;
15;"BOYACA";822;"TOTA";15822;60,64;
15;"BOYACA";832;"TUNUNGUA";15832;22,67;
15;"BOYACA";835;"TURMEQUE";15835;32,11;
15;"BOYACA";837;"TUTA";15837;32,46;
15;"BOYACA";839;"TUTAZA";15839;46,68;
15;"BOYACA";842;"UMBITA";15842;47,36;
15;"BOYACA";861;"VENTAQUEMADA";15861;28,45;
15;"BOYACA";879;"VIRACACHA";15879;38,02;
15;"BOYACA";897;"ZETAQUIRA";15897;38,08;
17;"CALDAS";1;"MANIZALES";17001;10,03;
17;"CALDAS";13;"AGUADAS";17013;22,99;
17;"CALDAS";42;"ANSERMA";17042;19,08;
17;"CALDAS";50;"ARANZAZU";17050;20,34;
17;"CALDAS";88;"BELALCAZAR";17088;28,78;
17;"CALDAS";174;"CHINCHINA";17174;18,58;
17;"CALDAS";272;"FILADELFIA";17272;26,57;
17;"CALDAS";380;"LA DORADA";17380;25,07;
17;"CALDAS";388;"LA MERCED";17388;25,78;
17;"CALDAS";433;"MANZANARES";17433;28,13;
17;"CALDAS";442;"MARMATO";17442;35,99;
17;"CALDAS";444;"MARQUETALIA";17444;26,9;
17;"CALDAS";446;"MARULANDA";17446;21,43;
17;"CALDAS";486;"NEIRA";17486;22,56;
17;"CALDAS";495;"NORCASIA";17495;36,66;
17;"CALDAS";513;"PACORA";17513;24,88;
17;"CALDAS";524;"PALESTINA";17524;25,85;
17;"CALDAS";541;"PENSILVANIA";17541;23,61;
17;"CALDAS";614;"RIOSUCIO";17614;23,82;
17;"CALDAS";616;"RISARALDA";17616;24,61;
17;"CALDAS";653;"SALAMINA";17653;18,85;
17;"CALDAS";662;"SAMANA";17662;32,93;
17;"CALDAS";665;"SAN JOSE";17665;25,23;
17;"CALDAS";777;"SUPIA";17777;24,3;
17;"CALDAS";867;"VICTORIA";17867;30,66;
17;"CALDAS";873;"VILLAMARIA";17873;12,5;
17;"CALDAS";877;"VITERBO";17877;20,82;
18;"CAQUETA";1;"FLORENCIA";18001;26,85;
18;"CAQUETA";29;"ALBANIA";18029;35,03;
18;"CAQUETA";94;"BELEN DE LOS ANDAQUIES";18094;47,83;
18;"CAQUETA";150;"CARTAGENA DEL CHAIRA";18150;51,57;
18;"CAQUETA";205;"CURILLO";18205;44,58;
18;"CAQUETA";247;"EL DONCELLO";18247;42,34;
18;"CAQUETA";256;"EL PAUJIL";18256;54,22;
18;"CAQUETA";410;"LA MONTAÑITA";18410;65,29;
18;"CAQUETA";460;"MILAN";18460;60,77;
18;"CAQUETA";479;"MORELIA";18479;40,27;
18;"CAQUETA";592;"PUERTO RICO";18592;46,2;
18;"CAQUETA";610;"SAN JOSE DEL FRAGUA";18610;49,72;
18;"CAQUETA";753;"SAN VICENTE DEL CAGUAN";18753;53,98;
18;"CAQUETA";756;"SOLANO";18756;100;"Se asignó el máximo valor de NBI (100%) por no contar con información suficiente para su estimación"
18;"CAQUETA";785;"SOLITA";18785;52,87;
18;"CAQUETA";860;"VALPARAISO";18860;46,94;
19;"CAUCA";1;"POPAYAN";19001;18,07;
19;"CAUCA";22;"ALMAGUER";19022;88,54;
19;"CAUCA";50;"ARGELIA";19050;100;"Se asignó el máximo valor de NBI (100%) por no contar con información suficiente para su estimación"
19;"CAUCA";75;"BALBOA";19075;62,13;
19;"CAUCA";100;"BOLIVAR";19100;67;
19;"CAUCA";110;"BUENOS AIRES";19110;57,89;
19;"CAUCA";130;"CAJIBIO";19130;63,74;
19;"CAUCA";137;"CALDONO";19137;69,87;
19;"CAUCA";142;"CALOTO (1)";19142;48,94;
19;"CAUCA";212;"CORINTO";19212;53,58;
19;"CAUCA";256;"EL TAMBO";19256;53,45;
19;"CAUCA";290;"FLORENCIA";19290;46,74;
19;"CAUCA";300;"GUACHENE (1)";19300;26,23;
19;"CAUCA";318;"GUAPI";19318;87,42;
19;"CAUCA";355;"INZA";19355;68,44;
19;"CAUCA";364;"JAMBALO";19364;72,95;
19;"CAUCA";392;"LA SIERRA";19392;56,91;
19;"CAUCA";397;"LA VEGA";19397;70,62;
19;"CAUCA";418;"LOPEZ";19418;44,81;
19;"CAUCA";450;"MERCADERES";19450;69,05;
19;"CAUCA";455;"MIRANDA";19455;50,28;
19;"CAUCA";473;"MORALES";19473;62,29;
19;"CAUCA";513;"PADILLA";19513;22,17;
19;"CAUCA";517;"PAEZ";19517;64,27;
19;"CAUCA";532;"PATIA";19532;34,39;
19;"CAUCA";533;"PIAMONTE";19533;100;"Se asignó el máximo valor de NBI (100%) por no contar con información suficiente para su estimación"
19;"CAUCA";548;"PIENDAMO";19548;37,98;
19;"CAUCA";573;"PUERTO TEJADA";19573;18,05;
19;"CAUCA";585;"PURACE";19585;50,68;
19;"CAUCA";622;"ROSAS";19622;65,93;
19;"CAUCA";693;"SAN SEBASTIAN";19693;74,96;
19;"CAUCA";698;"SANTANDER DE QUILICHAO";19698;33,6;
19;"CAUCA";701;"SANTA ROSA";19701;77,72;
19;"CAUCA";743;"SILVIA";19743;50,29;
19;"CAUCA";760;"SOTARA";19760;57,27;
19;"CAUCA";780;"SUAREZ";19780;59,51;
19;"CAUCA";785;"SUCRE";19785;80,28;
19;"CAUCA";807;"TIMBIO";19807;36,04;
19;"CAUCA";809;"TIMBIQUI";19809;73,19;
19;"CAUCA";821;"TORIBIO";19821;61,81;
19;"CAUCA";824;"TOTORO";19824;60,97;
19;"CAUCA";845;"VILLA RICA";19845;30,66;
20;"CESAR";1;"VALLEDUPAR";20001;32,74;
20;"CESAR";11;"AGUACHICA";20011;41,9;
20;"CESAR";13;"AGUSTIN CODAZZI";20013;51,44;
20;"CESAR";32;"ASTREA";20032;70,86;
20;"CESAR";45;"BECERRIL";20045;56,51;
20;"CESAR";60;"BOSCONIA";20060;50,2;
20;"CESAR";175;"CHIMICHAGUA";20175;66,64;
20;"CESAR";178;"CHIRIGUANA";20178;53,52;
20;"CESAR";228;"CURUMANI";20228;47,89;
20;"CESAR";238;"EL COPEY";20238;51,17;
20;"CESAR";250;"EL PASO";20250;61,82;
20;"CESAR";295;"GAMARRA";20295;50,52;
20;"CESAR";310;"GONZALEZ";20310;66,33;
20;"CESAR";383;"LA GLORIA";20383;54,77;
20;"CESAR";400;"LA JAGUA DE IBIRICO";20400;55,65;
20;"CESAR";443;"MANAURE";20443;55,29;
20;"CESAR";517;"PAILITAS";20517;51,27;
20;"CESAR";550;"PELAYA";20550;55,36;
20;"CESAR";570;"PUEBLO BELLO";20570;83,4;
20;"CESAR";614;"RIO DE ORO";20614;49,66;
20;"CESAR";621;"LA PAZ";20621;49,34;
20;"CESAR";710;"SAN ALBERTO";20710;34,26;
20;"CESAR";750;"SAN DIEGO";20750;40,29;
20;"CESAR";770;"SAN MARTIN";20770;46,86;
20;"CESAR";787;"TAMALAMEQUE";20787;61,29;
23;"CORDOBA";1;"MONTERIA";23001;44,51;
23;"CORDOBA";68;"AYAPEL";23068;61,55;
23;"CORDOBA";79;"BUENAVISTA";23079;61,34;
23;"CORDOBA";90;"CANALETE";23090;85,95;
23;"CORDOBA";162;"CERETE";23162;50,43;
23;"CORDOBA";168;"CHIMA (3)";23168;62,87;
23;"CORDOBA";182;"CHINU";23182;53,78;
23;"CORDOBA";189;"CIENAGA DE ORO";23189;61,84;
23;"CORDOBA";300;"COTORRA";23300;61,27;
23;"CORDOBA";350;"LA APARTADA";23350;53,65;
23;"CORDOBA";417;"LORICA";23417;64,7;
23;"CORDOBA";419;"LOS CORDOBAS";23419;85,38;
23;"CORDOBA";464;"MOMIL";23464;63,47;
23;"CORDOBA";466;"MONTELIBANO (1)";23466;45,11;
23;"CORDOBA";500;"MOÑITOS";23500;77,14;
23;"CORDOBA";555;"PLANETA RICA";23555;58,45;
23;"CORDOBA";570;"PUEBLO NUEVO";23570;63,04;
23;"CORDOBA";574;"PUERTO ESCONDIDO";23574;84,6;
23;"CORDOBA";580;"PUERTO LIBERTADOR";23580;64,41;
23;"CORDOBA";586;"PURISIMA";23586;67,63;
23;"CORDOBA";660;"SAHAGUN";23660;53,8;
23;"CORDOBA";670;"SAN ANDRES SOTAVENTO (3)";23670;82,47;
23;"CORDOBA";672;"SAN ANTERO";23672;65,64;
23;"CORDOBA";675;"SAN BERNARDO DEL VIENTO";23675;70,71;
23;"CORDOBA";678;"SAN CARLOS";23678;66,22;
23;"CORDOBA";682;"SAN JOSE DE URE (1)";23682;72,53;
23;"CORDOBA";686;"SAN PELAYO";23686;63,4;
23;"CORDOBA";807;"TIERRALTA";23807;73,29;
